station_name,line,fact,place_name,place_type,place_description,walking_minutes,activity_category,budget_category
Комсомольская,Кольцевая линия,Открыта 30 января 1952 года. Архитектор Алексей Щусев. Станция посвящена русской воинской славе 1812 года. Одна из самых красивых станций метро в мире.,Казанский вокзал,Транспортный узел,Один из трёх вокзалов Комсомольской площади. Отсюда поезда в Поволжье и на юг России.,3,смотреть,средний
Комсомольская,Кольцевая линия,Открыта 30 января 1952 года. Архитектор Алексей Щусев. Станция посвящена русской воинской славе 1812 года. Одна из самых красивых станций метро в мире.,Ленинградский вокзал,Транспортный узел,Архитектурный памятник в неорусском стиле. Отсюда отправляются поезда «Сапсан» в Санкт-Петербург.,4,смотреть,средний
Комсомольская,Кольцевая линия,Открыта 30 января 1952 года. Архитектор Алексей Щусев. Станция посвящена русской воинской славе 1812 года. Одна из самых красивых станций метро в мире.,Ярославский вокзал,Транспортный узел,Фасад в сказочном русском стиле. Конечная Транссибирской магистрали.,5,смотреть,средний
Комсомольская,Кольцевая линия,Открыта 30 января 1952 года. Архитектор Алексей Щусев. Станция посвящена русской воинской славе 1812 года. Одна из самых красивых станций метро в мире.,Музей истории Московского метро,Музей,Находится в северном вестибюле. Экскурсия по легендарным поездам и документам.,2,смотреть,средний
Комсомольская,Кольцевая линия,Открыта 30 января 1952 года. Архитектор Алексей Щусев. Станция посвящена русской воинской славе 1812 года. Одна из самых красивых станций метро в мире.,Памятник К.П. Рябушинскому,Памятник,Бронзовый купец и меценат работы скульптора А.Н. Бурганова. Встреча у паровоза.,6,смотреть,бесплатно
Комсомольская,Кольцевая линия,Открыта 30 января 1952 года. Архитектор Алексей Щусев. Станция посвящена русской воинской славе 1812 года. Одна из самых красивых станций метро в мире.,Самокат (кофейня рядом с выходом),Кафе,Сетевая кофейня для быстрого кофе перед поездом.,1,есть,дёшево
Курская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы Г. Захаров и З. Чернышева. Пилоны украшены красным гранитом и мрамором. Названа по Курскому вокзалу.,Курский вокзал,Транспортный узел,Вокзал пригородных электричек и поездов дальнего следования на юг и юго-восток.,2,смотреть,средний
Курская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы Г. Захаров и З. Чернышева. Пилоны украшены красным гранитом и мрамором. Названа по Курскому вокзалу.,Аптека Карла Феррейна (Маркт),Музей/Кафе,Историческая аптека с отреставрированными интерьерами, витражами и музейными экспонатами. Теперь здесь красивое кафе.,смотреть,средний
Курская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы Г. Захаров и З. Чернышева. Пилоны украшены красным гранитом и мрамором. Названа по Курскому вокзалу.,Атриум (торговый центр),ТЦ,Крупный ТЦ прямо у выхода из метро. Кинотеатр, фуд-корт,смотреть,средний
Курская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы Г. Захаров и З. Чернышева. Пилоны украшены красным гранитом и мрамором. Названа по Курскому вокзалу.,Чистые пруды (начало бульвара),Парк/Улица,Начало Чистопрудного бульвара — одного из самых красивых в Москве. Пруд с утками и фонтан.,12,гулять,бесплатно
